Chemical,MAE_ngmL,RMSE_ngmL,R2,Evaluation
Digoxin,42.9247,49.6435,-0.2839,train_reconstruction
Methotrexate,68.5491,106.9679,-0.0763,train_reconstruction
Nicotine,1.4876,2.4706,-0.0387,train_reconstruction
Tetracycline,57.4846,98.4957,-0.0427,train_reconstruction
Valproic acid,2.2111,2.5657,-0.1411,train_reconstruction
Busulphan,1.124,3.0904,-0.0095,train_reconstruction
Chlorambucil,1.8195,2.2757,-0.1945,train_reconstruction
Chloramphenicol,1.7922,2.6179,-0.0985,train_reconstruction
Ciprofloxacin,1.2153,2.9222,-0.0105,train_reconstruction
Colchicine,1.4797,2.4086,-0.0373,train_reconstruction
Dapsone,57.9261,91.1817,-0.0074,train_reconstruction
Didanosine,12.6537,53.0101,-0.0479,train_reconstruction
Edaravone,1.2527,2.0274,-0.0174,train_reconstruction
Estradiol,6.5273,8.5192,-0.44,train_reconstruction
Finasteride,1.3772,1.4698,-0.5621,train_reconstruction
Fluorescein,35.959,48.7154,-0.6059,train_reconstruction
Glipizide,12.4957,13.177,-0.9282,train_reconstruction
Glyburide,3.5571,3.7149,-1.2814,train_reconstruction
Indomethacin,0.8493,0.9527,-0.4707,train_reconstruction
Isoniazide,0.9133,3.1023,-0.0143,train_reconstruction
Levonorgestrel,1.3389,1.4312,-0.538,train_reconstruction
Melatonin,35.3424,72.5319,-0.013,train_reconstruction
"4-nonylphenol, branched",2.2178,2.5593,-2.2918,train_reconstruction
Mifepristone,0.2631,0.302,-0.3363,train_reconstruction
Nitrofurantoin,44.3703,107.1661,-0.011,train_reconstruction
Physostigmine,1.3264,2.1794,-0.0224,train_reconstruction
Quercetin,1.4442,2.4209,-0.0327,train_reconstruction
"4,4'-(isopropylidenebis(4,1-phenyleneoxy))dianiline",0.3973,0.4543,0.7678,train_reconstruction
Tolcapone,1.4485,1.5744,-0.3971,train_reconstruction
Triamcinolone acetonide,1.615,1.7712,-0.4064,train_reconstruction
Triamterene,51.6168,83.9542,-0.0082,train_reconstruction
Hexachlorophene,0.3505,0.48,0.7408,train_reconstruction
Aminoglutethimide,0.6595,3.1878,-0.0445,train_reconstruction
Aminopterin,28.954,62.0567,-0.011,train_reconstruction
Cycloheximide,1.235,2.8091,-0.0106,train_reconstruction
Diethylphthalate,1.1612,1.5744,-0.0327,train_reconstruction
Fenpropathrin,0.1166,0.1362,0.0796,train_reconstruction
Fenvalerate,0.2233,0.2849,0.7907,train_reconstruction
Gibberellic_acid,94.9675,141.7893,-0.0317,train_reconstruction
Nalidixic_acid,1.3155,2.1738,-0.0207,train_reconstruction
Strychnine,1.3945,1.9646,-0.0542,train_reconstruction
Apomorphine hydrochloride hydrate,5.7844,5.9853,-3.0241,train_reconstruction
Gemfibrozil,0.3501,0.4023,0.0017,train_reconstruction
Hydrochlorothiazide,85.7336,142.5615,-0.024,train_reconstruction
"1,2,3,4,5,6-hexachlorocyclohexane",28.3291,28.6549,-14.8055,train_reconstruction
Azathioprine,66.8405,119.6454,-0.0117,train_reconstruction
Daidzein,1.1163,1.2102,-0.3577,train_reconstruction
Tamoxifen citrate,575.3789,580.5008,-29.9522,train_reconstruction
Meso-hexestrol,14.5827,14.7785,-9.7662,train_reconstruction
4-chloro-3-methylphenol,43.4908,45.7801,-7.3421,train_reconstruction
Estrone,51.6197,52.4642,-16.4833,train_reconstruction
Kaempferol,1.0836,1.7538,-0.0079,train_reconstruction
Zearalenone,0.5785,0.7509,-0.0199,train_reconstruction
5alpha-dihydrotestosterone,0.7527,0.8734,-0.048,train_reconstruction
Apigenin,7.6424,11.4187,-0.1212,train_reconstruction
Trimethyl phosphate,0.9377,3.0847,-0.0128,train_reconstruction
Nordihydroguaiaretic acid,4.1618,6.4376,-0.111,train_reconstruction
"2,2'-bisphenol f",0.7374,0.943,-0.0036,train_reconstruction
2-ethylhexylparaben,0.4449,0.5642,-0.0348,train_reconstruction
Caprolactam,17.2815,65.594,-0.0733,train_reconstruction
"2,4,5-trichlorophenoxyacetic acid",48.1134,48.6054,-20.2499,train_reconstruction
C.i. solvent yellow 14,25.8947,26.1894,-14.5234,train_reconstruction
"2,4-dihydroxybenzophenone",1.4138,1.6148,-0.221,train_reconstruction
Carabersat,20.3954,26.1143,-1.2328,train_reconstruction
17-methyltestosterone,1.098,1.1807,-0.4808,train_reconstruction
"4,4'-sulfonyldiphenol",266.2839,376.4156,-0.006,train_reconstruction
Tris(2-chloroethyl) phosphate,35.1813,57.062,-0.0162,train_reconstruction
Benzylparaben,0.6572,0.8531,-0.0079,train_reconstruction
Triphenylphosphine oxide,40.5016,46.9356,-2.608,train_reconstruction
(6)-gingerol,0.6573,0.9463,-0.0526,train_reconstruction
1-benzylquinolinium chloride,1.1615,2.8476,-0.0094,train_reconstruction
1-dodecyl-2-pyrrolidinone,0.5019,0.5588,-0.2269,train_reconstruction
1-naphthol,52.8739,56.4655,-5.9775,train_reconstruction
"1,2-dimethyl-3-nitrobenzene",2.3939,4.1573,-0.0988,train_reconstruction
"1,2,3-benzotriazole",50.0041,74.4261,-0.0154,train_reconstruction
"1,4-bis(n-isopropylamino)anthraquinone",40.2844,40.7037,-17.6959,train_reconstruction
17alpha-estradiol,6.5832,8.589,-0.4511,train_reconstruction
17beta-trenbolone,1.1141,1.2927,-0.1243,train_reconstruction
"2',4',5',7'-tetrabromofluorescein",0.7319,0.7571,0.4959,train_reconstruction
2-(4-hydroxybenzyl)phenol,0.9405,1.1226,-0.0546,train_reconstruction
2-(thiocyanomethylthio)benzothiazole,15.7926,21.2035,-0.7989,train_reconstruction
2-[4-(diethylamino)-2-hydroxybenzoyl]benzoic acid,10.5069,11.645,-0.1775,train_reconstruction
2-amino-5-azotoluene,2.3615,2.5979,-0.3045,train_reconstruction
2-aminoanthraquinone,1.0005,1.1046,-0.2219,train_reconstruction
2-chloro-4-phenylphenol,18.576,18.8038,-12.5444,train_reconstruction
2-chloro-n-phenylacetamide,1.1244,2.1188,-0.0082,train_reconstruction
2-ethyl-3-hydroxy-4h-pyran-4-one,0.6963,2.8041,-0.0506,train_reconstruction
2-hydroxy-4-methoxybenzophenone,0.8371,0.9176,-0.3051,train_reconstruction
2-mercaptobenzimidazole,34.9247,54.8512,-0.0293,train_reconstruction
2-mercaptobenzothiazole,1.5259,1.7544,-0.2409,train_reconstruction
2-methoxy-4-propylphenol,1.3917,1.576,-0.2396,train_reconstruction
2-methoxyphenol,1.0054,2.3357,-0.0142,train_reconstruction
2-methylaniline,21.9624,42.7701,-0.0271,train_reconstruction
2-tert-butyl-4-ethylphenol,0.5424,0.7228,-0.0491,train_reconstruction
2-tert-butyl-4-methylphenol,0.9388,1.031,-0.2413,train_reconstruction
2-tert-butyl-5-methylphenol,0.9284,1.0443,-0.1413,train_reconstruction
2-tert-butylphenol,10.346,13.8805,-0.162,train_reconstruction
"2,2'-methylenebis(4-methyl-6-tert-butylphenol)",0.436,0.4833,0.5396,train_reconstruction
Dichlorvos,20.1056,35.0392,-0.0099,train_reconstruction
"2,2',4,4'-tetrahydroxybenzophenone",1.5591,1.7111,-0.3841,train_reconstruction
Diisobutyl phthalate,0.4834,0.6351,-0.1027,train_reconstruction
Dipentyl phthalate,0.0883,0.1119,-0.4371,train_reconstruction
"2,3-dihydro-2,2-dimethyl-7-benzofuranol",31.4271,46.3295,-0.0681,train_reconstruction
"2,3,4-trihydroxbenzophenone",0.9397,1.299,-0.0072,train_reconstruction
"Dipropyl 2,5-pyridinedicarboxylate",0.6156,0.8697,-0.0615,train_reconstruction
"2,4-di-tert-butylphenol",0.1336,0.157,0.0772,train_reconstruction
"2,4,4'-trihydroxybenzophenone",1.4902,1.6293,-0.3797,train_reconstruction
"2,4,6-trimethylphenol",0.692,1.475,-0.1776,train_reconstruction
"2,5-bis(2-methylbutan-2-yl)benzene-1,4-diol",0.2088,0.2389,-0.0793,train_reconstruction
"2,5-di-tert-butylbenzene-1,4-diol",2.9495,3.728,-1.3456,train_reconstruction
"2,6,10-trimethyl-2,6,10-triazaundecane",263.7988,380.8685,-0.109,train_reconstruction
Enterolactone,0.8669,1.3169,-0.0125,train_reconstruction
3-dimethylaminophenol,53.4167,76.5947,-0.0229,train_reconstruction
3-iodo-2-propynyl-n-butylcarbamate,0.8666,1.8227,-0.0367,train_reconstruction
3-isopropylphenol,1.081,1.2481,-0.1242,train_reconstruction
3-methylaniline,1.0826,2.2769,-0.0094,train_reconstruction
3-tert-butylphenol,0.8492,1.0178,-0.0353,train_reconstruction
"3,3'-dimethoxybenzidine dihydrochloride",128.8423,191.6442,-0.0554,train_reconstruction
"3,3'-dimethylbenzidine dihydrochloride",2.4263,3.4353,-0.2551,train_reconstruction
"3,3',5,5'-tetrabromobisphenol a",0.1438,0.1745,-0.3826,train_reconstruction
"3,4-dichloronitrobenzene",2.89,4.7807,-0.1752,train_reconstruction
"3,5-dichloroaniline",0.8913,1.2538,-0.0058,train_reconstruction
"3,5-dichlorosalicyl-3,4-dichloroanullide",3.8176,3.8688,-2.262,train_reconstruction
"3,5,3'-triiodothyronine",16.5594,16.7982,-4.2132,train_reconstruction
4-(2-phenylpropan-2-yl)-n-[4-(2-phenylpropan-2-yl)phenyl]aniline,0.7944,0.8585,0.171,train_reconstruction
4-(hexyloxy)phenol,1.8956,2.4092,-0.003,train_reconstruction
4-aminobenzoic acid,22.2311,48.2208,-0.0169,train_reconstruction
4-anilinophenol,0.9697,1.3073,-0.0118,train_reconstruction
4-butylaniline,1.1282,1.2655,-0.1953,train_reconstruction
4-butyloxyaniline,1.7533,2.372,-0.1327,train_reconstruction
4-butylphenol,0.5801,0.8419,-0.1139,train_reconstruction
"4-chloro-1,2-diaminobenzene",1.2817,2.365,-0.0143,train_reconstruction
4-chloroanulline,43.915,63.0266,-0.0481,train_reconstruction
4-cumylphenol,0.7681,0.8479,-0.1977,train_reconstruction
4-ethoxyaniline,1.2797,2.3911,-0.0139,train_reconstruction
4-heptylphenol,0.5644,0.6436,-0.0354,train_reconstruction
4-hexylanilline,0.4118,0.5725,-0.2949,train_reconstruction
4-hexyloxyanilline,0.6507,0.8057,-0.0018,train_reconstruction
4-hydroxy-3-methoxybenzaldehyde,1.5327,2.8401,-0.3982,train_reconstruction
4-hydroxytamoxifen,0.1059,0.1246,-0.1917,train_reconstruction
4-methylbenzophenone,0.7147,1.0106,-0.0253,train_reconstruction
4-nitrophenol,1.7952,2.144,-0.2477,train_reconstruction
4-nitrosodiphenylamine,0.9098,1.1668,-0.0151,train_reconstruction
Loratadine,0.1481,0.1715,-0.1355,train_reconstruction
4-pentylaniline,0.9865,1.0779,-0.2803,train_reconstruction
4-propylanilline,1.4882,1.7373,-0.2072,train_reconstruction
4-tert-butylaniline,1.3188,1.5106,-0.1959,train_reconstruction
"4,4'-(9h-fluorene-9,9-diyl)diphenol",10.9446,13.8847,-1.0399,train_reconstruction
Methomyl,1.1604,2.7754,-0.0092,train_reconstruction
"4,4'-methylenebis(2,6-diethylaniline)",0.3321,0.3847,-0.1194,train_reconstruction
"4,4'-methylenedianiline",1.7396,2.2974,-0.1404,train_reconstruction
"4,4',4''-ethane-1,1,1-triyltriphenol",1.0683,1.1612,-0.3308,train_reconstruction
5-amino-2-methylphenol,1.1296,2.6734,-0.0091,train_reconstruction
5hpp-33,0.4385,0.4922,-0.1015,train_reconstruction
6-thioguanine,20.1274,58.8407,-0.0192,train_reconstruction
Acetophenone,42.5571,64.3872,-0.0233,train_reconstruction
Acetyl tributyl citrate,0.3622,0.4278,0.0129,train_reconstruction
Acibenzolar-s-methyl,0.9122,1.1375,-0.0242,train_reconstruction
Adriamycin hydrochloride,88.7362,101.1567,-0.0848,train_reconstruction
Aldoxycarb,16.8512,52.4072,-0.0183,train_reconstruction
Allura red c.i.16035,112.5783,114.307,-17.398,train_reconstruction
Amiodarone hydrochloride,40.8445,52.0368,-0.5794,train_reconstruction
N-phenyl-1-naphthylamine,0.4367,0.5059,-0.0009,train_reconstruction
Asulam,39.6101,99.1638,-0.012,train_reconstruction
Auramine hydrochloride,2.6024,3.2831,-0.3701,train_reconstruction
Azamethiphos,0.9445,2.6613,-0.1403,train_reconstruction
Nicotinic acid,1.1458,2.8895,-0.0093,train_reconstruction
Basic blue 7,50.1771,51.7429,-8.6305,train_reconstruction
Benzocaine,0.8236,2.1161,-0.1769,train_reconstruction
Benzyl salicylate,1.7671,2.2058,-0.0158,train_reconstruction
Besonprodil,0.5493,0.6147,-0.5929,train_reconstruction
Bicalutamide,30.9485,31.4762,-11.5457,train_reconstruction
Biochanin a,0.7231,1.1314,-0.0581,train_reconstruction
Bisdemethoxycurcumin,8.0689,10.9738,-0.0847,train_reconstruction
Bisphenol af,0.5059,0.5971,0.0009,train_reconstruction
Bispyribac-sodium,579.5161,788.3908,-0.8598,train_reconstruction
Bromocresol green sodium salt,185.4869,188.4681,-11.9655,train_reconstruction
Bromocriptine mesylate,3.827,4.1292,-1.2615,train_reconstruction
C.i. basic red 9 monohydrochloride,2.351,3.4169,-0.2222,train_reconstruction
C.i. disperse orange 37,56.2877,56.859,-19.5367,train_reconstruction
C.i. solvent orange 7,11.7309,11.8917,-8.0221,train_reconstruction
C.i. solvent red 49,0.0483,0.0579,-0.0682,train_reconstruction
Phenylparaben,0.8243,1.0161,-0.017,train_reconstruction
C8-18-alkydimethylbenzyl ammonium chlorides,0.9821,1.1398,-0.0915,train_reconstruction
Pioglitazone hydrochloride,7.6571,8.4542,-1.2668,train_reconstruction
Cariporide mesylate,44.7088,79.1027,-0.0089,train_reconstruction
Carminic acid,34.3158,48.2186,-0.1138,train_reconstruction
Catechol,2.4552,3.0402,-0.3565,train_reconstruction
Chlorhexidine diacetate,312.9125,316.0775,-22.0154,train_reconstruction
Chlorophacinone,18.0058,18.2533,-9.5969,train_reconstruction
Chlorothalonil,18.1695,25.1891,-0.3383,train_reconstruction
Chlorotrianisene,1.2274,1.245,-0.0506,train_reconstruction
Chlorpromazine hydrochloride,224.7253,248.4837,-4.1702,train_reconstruction
Chrysin,0.6287,0.9071,-0.0757,train_reconstruction
Cj-013610,213.1854,260.667,-0.0155,train_reconstruction
Clofibrate,1.4086,1.7126,-0.0079,train_reconstruction
Clomipramine hydrochloride,123.0398,140.4095,-3.0642,train_reconstruction
Sb236057a,0.9651,1.1144,-0.987,train_reconstruction
Clopyralid-olamine,33.2049,54.8272,-0.0185,train_reconstruction
Clotrimazole,0.2309,0.2642,0.0138,train_reconstruction
Corticosterone,1.8642,2.1707,-0.306,train_reconstruction
Cp-544439,1.8577,2.0065,-0.5493,train_reconstruction
Cp-634384,44.6969,45.1708,-18.2553,train_reconstruction
Cp-671305,41.5289,42.7674,-9.3818,train_reconstruction
Curcumin,4.5678,7.6167,-0.0495,train_reconstruction
Cyazofamid,2.78,3.2687,-0.5244,train_reconstruction
Cyclopamine,0.1359,0.1568,-0.0649,train_reconstruction
Cyclophosphamide monohydrate,22.9559,40.1686,-0.009,train_reconstruction
Cyfluthrin,0.4242,0.4827,0.5679,train_reconstruction
Cymoxanil,1.0933,2.7708,-0.0096,train_reconstruction
Cyproterone acetate,1.1672,1.2488,-0.7471,train_reconstruction
Cytarabine hydrochloride,0.8574,3.1724,-0.0752,train_reconstruction
Daminozide,0.7911,3.1664,-0.0641,train_reconstruction
Darbufelone mesylate,608.3852,631.6322,-11.1099,train_reconstruction
Deethylatrazine,30.9793,51.8634,-0.0236,train_reconstruction
Denatonium saccharide,47.3756,69.1012,-0.038,train_reconstruction
Dexamethasone sodium phosphate,3.591,3.833,-1.2535,train_reconstruction
Dibutyl decanedioate,0.4825,0.5492,-0.9537,train_reconstruction
Dichlorophen,1.1998,1.3446,-0.2233,train_reconstruction
Trichlorfon,0.9838,2.8146,-0.0137,train_reconstruction
Diflubenzuron,21.6792,21.9783,-11.987,train_reconstruction
Trifloxystrobin,0.758,0.9074,-0.0218,train_reconstruction
Triglycidyl isocyanurate,2.4526,3.8866,-0.623,train_reconstruction
Diphenamid,22.6875,31.469,-0.3516,train_reconstruction
Diphenolic acid,20.3285,23.3823,-2.6328,train_reconstruction
"1,2-diphenoxyethane",13.4776,15.2461,-2.7662,train_reconstruction
Disulfiram,0.6525,0.7238,-0.1648,train_reconstruction
Dl-norgestrel,1.3273,1.4206,-0.5196,train_reconstruction
Econazole nitrate,16.1348,17.2837,-1.0321,train_reconstruction
Elzasonan,0.3199,0.3665,-0.4742,train_reconstruction
Enadoline,1.2752,1.4149,-0.2655,train_reconstruction
Endothal,17.7934,28.476,-0.0153,train_reconstruction
Octanoic acid,47.5608,49.4266,-9.1498,train_reconstruction
Eosin,4.3392,4.4849,-0.7396,train_reconstruction
Epoxiconazole,44.3265,46.21,-8.2853,train_reconstruction
Equilin,0.9433,1.0222,-0.3889,train_reconstruction
Exifone,66.0028,87.1382,-0.0262,train_reconstruction
Fabesetron hydrochloride,3.2269,3.7606,-0.661,train_reconstruction
C.i. direct red 81 disodium salt,42.0771,42.9976,-6.2141,train_reconstruction
Fd&c green no. 3,2.67,2.7272,0.2692,train_reconstruction
Fd&c yellow 6,60.5095,73.5249,-0.0043,train_reconstruction
Fenofibrate,0.1862,0.2206,0.033,train_reconstruction
Fenoxaprop-(2s)-ethyl,0.2901,0.3397,0.023,train_reconstruction
Fenoxaprop-p-ethyl,0.2883,0.3402,0.0201,train_reconstruction
"Fenpyroximate (z,e)",0.4012,0.4672,-0.3365,train_reconstruction
Fenuron,1.2833,2.5606,-0.0128,train_reconstruction
Fluazifop-butyl,0.3145,0.3713,0.017,train_reconstruction
Flufenpyr-ethyl,0.4514,0.5817,-0.0507,train_reconstruction
Fomesafen,65.0428,65.8813,-17.5926,train_reconstruction
Haloxyfop-methyl,0.4823,0.5693,0.0029,train_reconstruction
Hydramethylnon,71.7426,79.6114,-3.5647,train_reconstruction
Hydroxyflutamide,31.3057,42.0972,-0.7446,train_reconstruction
Hydroxyprogesterone caproate,0.1127,0.132,0.101,train_reconstruction
Ilepatril,1.4724,1.6954,-0.2257,train_reconstruction
Ingliforib,13.6911,14.7895,-1.261,train_reconstruction
Ipconazole,0.4356,0.5035,-0.0039,train_reconstruction
Isofenphos,0.4543,0.5454,0.0049,train_reconstruction
Isopropalin,6.8759,7.1827,-3.9276,train_reconstruction
Isoproterenol hydrochloride,19.6295,79.1678,-0.056,train_reconstruction
Isoproturon,26.4489,36.7371,-0.3663,train_reconstruction
Laurocapram,0.1607,0.1856,0.4495,train_reconstruction
Lauryl gallate,8.1302,8.2441,-5.2212,train_reconstruction
Leucomalachite green,1.9967,2.0229,-0.9189,train_reconstruction
Levothyroxine,2.1389,2.1822,0.2578,train_reconstruction
Picoxystrobin,0.7719,0.8498,-0.2194,train_reconstruction
Malaoxon,0.9006,2.0742,-0.0288,train_reconstruction
Melengestrol acetate,1.0753,1.1625,-0.3871,train_reconstruction
Metamitron,24.9516,52.0949,-0.0148,train_reconstruction
Methenamine,59.2894,119.9308,-0.0094,train_reconstruction
Propachlor,0.8839,1.7538,-0.0306,train_reconstruction
Methyl 2-aminobenzoate,1.1042,2.2281,-0.3207,train_reconstruction
Propiconazole,0.8332,0.9059,-0.423,train_reconstruction
Methyl red,1.1031,1.187,-0.4626,train_reconstruction
Methyl salicylate,1.0074,1.4847,-0.0075,train_reconstruction
Methylene blue,1.4426,2.7757,-0.0261,train_reconstruction
Michler's ketone,0.6587,0.7306,-0.1658,train_reconstruction
Resveratrol,10.8557,14.4579,-0.1598,train_reconstruction
Monolinuron,37.6328,52.4157,-0.2268,train_reconstruction
Monomethyl phthalate,44.1523,72.9389,-0.0114,train_reconstruction
Morin hydrate,372.5983,375.6725,-39.0481,train_reconstruction
N-benzyladenine,70.9436,99.0893,-0.0862,train_reconstruction
N-ethylaniline,1.4171,1.8259,-0.0958,train_reconstruction
N-methyl-2-pyrrolidone,4.0441,14.4801,-0.02,train_reconstruction
Sodium saccharin hydrate,23.545,72.1857,-0.115,train_reconstruction
N-vinyl-2-pyrrolidone,18.9688,45.7056,-0.012,train_reconstruction
Naphthalen-2-yl 2-aminobenzoate,0.7647,0.9068,-0.0291,train_reconstruction
Nelivaptan,2.1279,2.2178,-1.8184,train_reconstruction
Sulisobenzone,20.3204,22.288,-0.2867,train_reconstruction
Nilutamide,23.903,30.1648,-1.4508,train_reconstruction
Nitrofurazone,21.2923,51.9143,-0.0115,train_reconstruction
Oleyl sarcosine,0.3881,0.4604,0.4255,train_reconstruction
Oxyphenisatin,41.5162,42.0818,-16.2831,train_reconstruction
P-xylenol blue,16.3266,16.5716,-8.6757,train_reconstruction
Paraoxon,28.2404,42.5432,-0.0363,train_reconstruction
Pd-0333941,1.0727,1.2432,0.0537,train_reconstruction
Pebulate,4.4148,6.2147,-0.5415,train_reconstruction
Pharmagsid_48505,53.6431,54.2143,-19.5749,train_reconstruction
Pharmagsid_48510,0.3092,0.3615,-0.4732,train_reconstruction
Phenobarbital sodium,86.6502,161.2296,-0.011,train_reconstruction
Phenol red,1.407,1.5171,-0.4249,train_reconstruction
Phenol red sodium salt,129.1519,174.6685,-0.0236,train_reconstruction
Phenolphthalin,13.0271,14.0555,-0.4203,train_reconstruction
Phenothiazine,18.8351,19.0596,-12.944,train_reconstruction
Celecoxib,2.0513,2.2264,-0.4404,train_reconstruction
Trinexapac-ethyl,2.3914,2.97,-0.3317,train_reconstruction
Triclocarban,1.0665,1.2207,-0.1666,train_reconstruction
Secbumeton,1.2765,1.3713,-0.4638,train_reconstruction
Pravastatin sodium,86.6369,125.3873,-0.1112,train_reconstruction
Procymidone,1.3255,1.4185,-0.5236,train_reconstruction
Hexanedihydrazide,1.1158,3.1155,-0.0093,train_reconstruction
Propargite,0.1965,0.2262,-0.1899,train_reconstruction
Diethylenetriamine,0.7826,3.1072,-0.0239,train_reconstruction
Propoxycarbazone-sodium,360.048,368.5628,-16.5508,train_reconstruction
Propyl gallate,1.658,2.137,-0.1411,train_reconstruction
Pyraflufen-ethyl,11.1158,14.8328,-0.4696,train_reconstruction
Raloxifene hydrochloride,2.6954,2.9182,-0.8047,train_reconstruction
Tembotrione,62.8181,84.8747,-0.3596,train_reconstruction
Rhodamine 6g,458.8664,462.774,-34.5571,train_reconstruction
Phenthoate,0.6053,0.7772,-0.01,train_reconstruction
Tetrabromophenolphthalein ethyl ester,0.8412,0.8654,0.4276,train_reconstruction
Sodium 2-mercaptobenzothiolate,2.1514,2.8089,-0.2346,train_reconstruction
Sodium 4-nitrophenolate,1.4826,3.1091,-0.0317,train_reconstruction
Sodium dehydroacetate,243.728,391.1137,-0.0183,train_reconstruction
"4,4'-sulfonylbis[2-(prop-2-en-1-yl)phenol]",0.9899,1.2979,-0.0189,train_reconstruction
Sulfamethazine,120.4087,177.6933,-0.0224,train_reconstruction
Sulfaquinoxaline,288.551,291.0605,-36.4226,train_reconstruction
Sulfotepp,0.5257,0.6142,-0.0069,train_reconstruction
Hexyl salicylate,5.3381,8.4338,-0.244,train_reconstruction
Surinabant,1.7036,1.7265,-0.2196,train_reconstruction
2-ethylhexanoic acid,1.4794,1.6451,-0.3015,train_reconstruction
Terbufos,0.3586,0.4039,-0.112,train_reconstruction
Testosterone propionate,1.5272,1.9144,-0.0416,train_reconstruction
Isopropanol,1.0232,3.1162,-0.0122,train_reconstruction
Tetrahydrocurcumin,0.8931,1.6376,-0.0247,train_reconstruction
Theobromine,2.3081,3.8045,-0.5479,train_reconstruction
Thiram,2.7417,4.2577,-0.0239,train_reconstruction
Tolazamide,57.4779,62.4782,-4.718,train_reconstruction
Tralkoxydim,7.6999,8.1074,-4.6379,train_reconstruction
Trelanserin,1.827,1.9171,-0.9523,train_reconstruction
Triazophos,1.0125,1.1068,-0.2817,train_reconstruction
Terbuthylazine,1.1641,1.2577,-0.395,train_reconstruction
Triethylene glycol dimethyl ether,23.3689,71.5288,-0.0239,train_reconstruction
Ethanol,0.8661,3.0903,-0.0168,train_reconstruction
4-(n-methyl-n-nitrosamino)-1-(3-pyridyl)-1-butanone,1.4448,2.5133,-0.0306,train_reconstruction
"4-hydroxy-2,2,6,6-tetramethylpiperidin-1-yl)oxidanyl",1.3893,2.6177,-0.0219,train_reconstruction
2-butyloctan-1-ol,0.2407,0.3171,-0.4779,train_reconstruction
Mestranol,0.5627,0.6238,-0.3829,train_reconstruction
(4-methoxyphenyl)methanol,0.9009,2.4914,-0.0248,train_reconstruction
"(2z)-3,7-dimethylocta-2,6-dien-1-ol",37.3817,37.7695,-19.3803,train_reconstruction
4-n-nonylphenol,0.0676,0.085,-0.2127,train_reconstruction
Mizolastine,1.5275,1.6299,-0.8702,train_reconstruction
4-morpholinecarboxaldehyde,0.6967,3.178,-0.0355,train_reconstruction
2-butoxyethanol,1.1886,2.6618,-0.0092,train_reconstruction
"4,4'-(oxydiethylene)bis(morpholine)",1.3855,3.034,-0.0206,train_reconstruction
Metconazole,0.7492,0.8191,-0.4224,train_reconstruction
Tetramethylthiuram monosulfide,1.1572,2.5737,-0.009,train_reconstruction
Triethoxyoctylsilane,0.283,0.3218,-0.196,train_reconstruction
1-(2-hydroxyethyl)pyrrolidin-2-one,1.0017,3.4422,-0.0153,train_reconstruction
"6-phenyl-1,3,5-triazine-2,4-diamine",1.6426,2.4127,-0.0772,train_reconstruction
N-dodecanoyl-n-methylglycine,0.8438,0.9386,-0.1449,train_reconstruction
"Ethyl 2-cyano-3,3-diphenylacrylate",0.7919,1.2259,-0.0299,train_reconstruction
"2,6-di-tert-butyl-4-[(dimethylamino)methyl]phenol",0.5343,0.6065,-0.0496,train_reconstruction
Saccharin,2.0843,2.8472,-0.1842,train_reconstruction
C.i.disperse yellow 42,2.1999,2.7853,-0.2704,train_reconstruction
