CAS,Chemical,Clint_ref_uL,Clint_p2_5,Clint_median,Clint_p97_5,AED_p2_5,AED_median,AED_p97_5,BER_p2_5,BER_median,BER_p97_5,Exposure_mg_kg_day
115-32-2,Dicofol,27.8,16.914,32.169,119.099,0.025311,0.054261,0.090034,,,,
134-62-3,Diethyltoluamide,3.797,6.977,13.912,29.13,0.706093,0.706633,0.70787,,,,
119446-68-3,Difenoconazole,30.6,19.21,40.725,103.976,0.739285,0.747617,0.762959,,,,
87674-68-8,Dimethenamid,19.92,5.528,8.528,13.216,3.650996,3.656707,3.665444,,,,
60-51-5,Dimethoate,3.682,3.018,6.628,11.357,3.482423,3.483696,3.489383,,,,
110488-70-5,Dimethomorph,20.3,6.085,9.083,14.556,2.50148,2.511021,2.523519,,,,
122-39-4,Diphenylamine,64.57,20.196,28.707,44.113,0.21344,0.219012,0.225736,,,,
97886-45-8,Dithiopyr,13.25,14.927,22.015,87.519,0.143498,0.151859,0.157165,,,,
330-54-1,Diuron,12.15,7.905,16.42,29.143,1.048781,1.050287,1.054005,,,,
759-94-4,Eptc,80.36,38.184,104.764,393.744,0.347214,0.351448,0.361507,,,,
26225-79-6,Ethofumesate,17.64,6.894,10.408,15.924,2.127862,2.132557,2.139465,,,,
13194-48-4,Ethoprop,20.95,13.239,18.973,27.693,0.611488,0.612433,0.613735,,,,
153233-91-1,Etoxazole,18.48,24.789,46.218,87.438,0.165215,0.168104,0.1734,,,,
2593-15-9,Etridiazole,127.0,38.688,79.066,185.393,0.75207,0.761518,0.778712,,,,
161326-34-7,Fenamidone,17.74,8.292,15.281,25.413,0.332398,0.335467,0.341954,,,,
22224-92-6,Fenamiphos,62.11,12.464,18.43,25.474,2.683016,2.691449,2.706048,,,,
60168-88-9,Fenarimol,3.788,13.647,19.019,28.182,0.104558,0.104981,0.105492,,,,
114369-43-6,Fenbuconazole,21.7,14.866,22.831,36.353,0.781684,0.787531,0.795952,,,,
126833-17-8,Fenhexamid,35.27,13.478,18.425,25.612,1.851508,1.855792,1.861395,,,,
122-14-5,Fenitrothion,10.02,28.787,52.361,100.694,0.058427,0.059347,0.060918,,,,
72490-01-8,Fenoxycarb,23.1,26.529,50.337,92.997,0.153336,0.156967,0.164071,,,,
55-38-9,Fenthion,87.2,20.355,33.835,61.224,1.071055,1.076637,1.084901,,,,
79241-46-6,Fluazifop-p-butyl,234.4,35.005,79.295,203.159,2.703574,2.739606,2.81438,,,,
79622-59-6,Fluazinam,24.76,10.066,16.758,27.368,0.101768,0.106169,0.113714,,,,
131341-86-1,Fludioxonil,37.05,21.183,30.697,42.57,0.217891,0.222459,0.229814,,,,
142459-58-3,Flufenacet,29.0,6.177,9.395,15.419,7.243429,7.262499,7.287934,,,,
98967-40-9,Flumetsulam,7.521,7.762,15.363,35.682,0.269439,0.274424,0.282994,,,,
103361-09-7,Flumioxazin,8.336,9.092,14.276,26.107,0.333519,0.336777,0.340876,,,,
2164-17-2,Fluometuron,10.06,6.476,10.198,16.847,1.432068,1.433935,1.436655,,,,
361377-29-9,Fluoxastrobin,16.35,8.869,15.415,23.402,0.432694,0.434984,0.439935,,,,
69377-81-7,Fluroxypyr,1.791,2.707,5.313,9.65,0.206893,0.20854,0.212071,,,,
85509-19-9,Flusilazole,6.959,15.156,21.704,35.739,0.132216,0.132933,0.133721,,,,
66332-96-5,Flutolanil,14.17,18.19,30.687,57.31,0.218209,0.219731,0.221982,,,,
68157-60-8,Forchlorfenuron,26.87,18.234,29.823,53.702,0.458461,0.460617,0.463699,,,,
23422-53-9,Formetanate hydrochloride,13.72,2.024,5.618,10.894,13.44878,13.458943,13.500872,,,,
79983-71-4,Hexaconazole,16.22,14.496,19.888,30.052,0.320624,0.321778,0.323048,,,,
51235-04-2,Hexazinone,6.361,4.198,7.026,10.875,2.522656,2.524465,2.527909,,,,
78587-05-0,Hexythiazox,110.4,18.741,35.087,64.999,0.890643,0.91053,0.948221,,,,
119515-38-7,Icaridin,12.56,7.571,12.313,22.678,1.632719,1.63458,1.637131,,,,
81335-37-7,Imazaquin,2.457,4.766,7.54,12.059,0.520796,0.522284,0.524596,,,,
81335-77-5,Imazethapyr,2.351,3.985,6.654,10.358,1.742253,1.745071,1.750353,,,,
138261-41-3,Imidacloprid,2.807,3.335,6.069,9.84,1.471015,1.472251,1.474895,,,,
173584-44-6,Indoxacarb,31.36,10.5,18.343,26.193,0.563509,0.578598,0.616201,,,,
144550-36-7,Iodosulfuron-methyl-sodium,5.691,4.737,8.894,16.085,0.058072,0.061604,0.068537,,,,
36734-19-7,Iprodione,11.7,19.104,32.588,55.513,0.05279,0.053923,0.055861,,,,
42509-80-8,Isazofos,19.53,13.248,18.398,26.507,0.498357,0.499459,0.50086,,,,
82558-50-7,Isoxaben,17.7,12.158,17.587,24.737,0.738712,0.740182,0.742455,,,,
141112-29-0,Isoxaflutole,20.42,8.967,15.233,32.755,0.519817,0.529305,0.541701,,,,
330-55-2,Linuron,33.05,12.657,19.068,28.705,1.417538,1.419608,1.422731,,,,
121-75-5,Malathion,368.0,6.473,10.106,15.288,195.837227,196.23168,196.88465,,,,
208465-21-8,Mesosulfuron-methyl,5.452,5.467,12.315,26.469,0.044881,0.048077,0.055563,,,,
950-37-8,Methidathion,3.924,5.273,8.162,12.619,1.329917,1.331786,1.334684,,,,
72-43-5,Methoxychlor,12.5,13.866,19.129,26.606,0.17488,0.176168,0.177909,,,,
161050-58-4,Methoxyfenozide,16.2,10.322,15.564,23.281,0.539262,0.540893,0.543391,,,,
298-00-0,Methyl parathion,14.19,11.073,22.795,39.363,0.387798,0.38999,0.395506,,,,
51218-45-2,Metolachlor,35.37,8.401,13.07,20.16,4.524747,4.530734,4.540199,,,,
21087-64-9,Metribuzin,1.067,4.51,7.186,11.395,0.463817,0.464252,0.46495,,,,
74223-64-6,Metsulfuron-methyl,2.319,5.966,8.719,13.639,0.375345,0.376912,0.378916,,,,
7786-34-7,Mevinphos,4.7,2.871,5.579,9.232,4.451978,4.456067,4.465818,,,,
88671-89-0,Myclobutanil,16.4,7.751,12.683,20.27,0.887035,0.889736,0.894327,,,,
15299-99-7,Napropamide,15.15,28.844,56.935,110.396,0.058888,0.05975,0.061484,,,,
50-65-7,Niclosamide,12.0,25.278,45.689,82.965,0.07305,0.07428,0.07649,,,,
27314-13-2,Norflurazon,11.09,6.511,9.852,15.118,1.504289,1.506807,1.510516,,,,
19044-88-3,Oryzalin,20.2,23.675,45.197,85.555,0.176128,0.179405,0.185719,,,,
144651-06-9,Oxasulfuron,3.107,4.684,7.645,11.743,0.348831,0.351091,0.355185,,,,
76738-62-0,Paclobutrazol,7.14,8.723,13.414,20.994,0.466407,0.467118,0.468178,,,,
56-38-2,Parathion,6.65,14.669,20.176,29.943,0.203827,0.204542,0.205365,,,,
40487-42-1,Pendimethalin,7.214,17.663,25.997,41.441,0.050489,0.051703,0.05324,,,,
52645-53-1,Permethrin,68.4,13.921,28.041,61.68,0.672432,1.145373,2.025031,,,,
2310-17-0,Phosalone,25.1,34.692,74.97,174.203,0.423459,0.428047,0.437399,,,,
51-03-6,Piperonyl butoxide,76.01,27.039,55.173,114.185,0.786146,0.798826,0.824354,,,,
23103-98-2,Pirimicarb,22.53,2.786,5.349,9.937,2.595774,2.607704,2.63147,,,,
29232-93-7,Pirimiphos-methyl,49.7,24.73,44.879,81.61,1.042691,1.049458,1.061709,,,,
67747-09-5,Prochloraz,16.4,17.239,32.925,75.016,0.285463,0.287354,0.290421,,,,
29091-21-2,Prodiamine,7.216,28.408,59.441,119.305,0.063194,0.064113,0.066114,,,,
1610-18-0,Prometon,8.17,23.93,37.242,67.231,0.189224,0.189906,0.190757,,,,
7287-19-6,Prometryn,35.78,39.262,82.574,197.531,0.150626,0.152466,0.155953,,,,
25606-41-1,Propamocarb hydrochloride,5.815,1.972,4.65,8.958,4.730546,4.735611,4.749906,,,,
709-98-8,Propanil,11.3,16.754,27.114,41.648,0.446183,0.446885,0.448129,,,,
139-40-2,Propazine,14.6,18.636,30.671,47.344,0.294872,0.295679,0.297158,,,,
