CAS,Compound,MW,logP,Fup,Clint,Clint_final,Clint_source
105512-06-9,Clodinafop-propargyl,349.7,3.899,0.0148,1010.0,1010.0,httk_measured
131-56-6,"2,4-dihydroxybenzophenone",214.2,2.595,0.0113,39.3,39.3,httk_measured
58-18-4,17-methyltestosterone,302.5,3.361,0.0329,12.7,12.7,httk_measured
94-18-8,Benzylparaben,228.2,3.556,0.00674,633.0,633.0,httk_measured
23513-14-6,(6)-gingerol,294.4,3.431,0.141,146.0,146.0,httk_measured
15619-48-4,1-benzylquinolinium chloride,255.8,0.4384,0.599,7.31,7.31,httk_measured
2687-96-9,1-dodecyl-2-pyrrolidinone,253.4,4.203,0.0125,19.1,19.1,httk_measured
83-41-0,"1,2-dimethyl-3-nitrobenzene",151.2,2.83,1e-06,523.0,523.0,httk_measured
57-91-0,17alpha-estradiol,272.4,3.909,3.98e-05,55.6,55.6,httk_measured
10161-33-8,17beta-trenbolone,270.4,2.948,0.0999,37.4,37.4,httk_measured
2467-03-0,2-(4-hydroxybenzyl)phenol,200.2,3.15,0.0426,56.8,56.8,httk_measured
5809-23-4,2-[4-(diethylamino)-2-hydroxybenzoyl]benzoic acid,313.4,3.279,0.00517,2.0,2.0,httk_measured
97-56-3,2-amino-5-azotoluene,225.3,3.783,0.00696,6.89,6.89,httk_measured
117-79-3,2-aminoanthraquinone,223.2,3.307,0.0305,30.8,30.8,httk_measured
587-65-5,2-chloro-n-phenylacetamide,169.6,1.63,0.401,38.9,38.9,httk_measured
4940-11-8,2-ethyl-3-hydroxy-4h-pyran-4-one,140.1,0.6281,0.606,81.0,81.0,httk_measured
131-57-7,2-hydroxy-4-methoxybenzophenone,228.2,3.785,0.00952,15.7,15.7,httk_measured
149-30-4,2-mercaptobenzothiazole,167.2,2.418,0.0215,37.3,37.3,httk_measured
2785-87-7,2-methoxy-4-propylphenol,166.2,2.648,0.0707,24.6,24.6,httk_measured
90-05-1,2-methoxyphenol,124.1,1.32,0.569,44.9,44.9,httk_measured
96-70-8,2-tert-butyl-4-ethylphenol,178.3,3.812,0.0454,102.0,102.0,httk_measured
2409-55-4,2-tert-butyl-4-methylphenol,164.2,3.433,0.0272,20.9,20.9,httk_measured
88-60-8,2-tert-butyl-5-methylphenol,164.2,3.343,0.0264,36.0,36.0,httk_measured
88-18-6,2-tert-butylphenol,150.2,3.31,0.000115,59.7,59.7,httk_measured
119-47-1,"2,2'-methylenebis(4-methyl-6-tert-butylphenol)",340.5,6.251,1e-06,22.4,22.4,httk_measured
131-55-5,"2,2',4,4'-tetrahydroxybenzophenone",246.2,2.598,0.0354,19.2,19.2,httk_measured
79-95-8,"2,2',6,6'-tetrachlorobisphenol a",366.1,7.151,0.00598,18.7,18.7,httk_measured
6846-50-0,"2,2,4-trimethyl-1,3-pentanediol diisobutyrate",286.4,4.777,1e-06,9.95,9.95,httk_measured
1143-72-2,"2,3,4-trihydroxbenzophenone",230.2,2.833,0.0185,94.1,94.1,httk_measured
2416-94-6,"2,3,6-trimethylphenol",136.2,2.671,0.0908,106.0,106.0,httk_measured
96-76-4,"2,4-di-tert-butylphenol",206.3,5.186,0.144,2.52,2.52,httk_measured
1470-79-7,"2,4,4'-trihydroxybenzophenone",230.2,2.707,0.0196,21.1,21.1,httk_measured
527-60-6,"2,4,6-trimethylphenol",136.2,2.729,0.109,163.0,163.0,httk_measured
79-74-3,"2,5-bis(2-methylbutan-2-yl)benzene-1,4-diol",250.4,4.911,0.0166,11.4,11.4,httk_measured
88-58-4,"2,5-di-tert-butylbenzene-1,4-diol",222.3,4.59,1e-06,117.0,117.0,httk_measured
95-74-9,3-chloro-4-methylaniline,141.6,1.926,0.145,65.3,65.3,httk_measured
55406-53-6,3-iodo-2-propynyl-n-butylcarbamate,281.1,2.091,0.719,486.0,486.0,httk_measured
618-45-1,3-isopropylphenol,136.2,3.015,0.14,19.9,19.9,httk_measured
108-44-1,3-methylaniline,107.2,1.4,0.549,32.9,32.9,httk_measured
585-34-2,3-tert-butylphenol,150.2,3.301,0.116,40.2,40.2,httk_measured
612-82-8,"3,3'-dimethylbenzidine dihydrochloride",285.2,-0.9007,0.115,25.4,25.4,httk_measured
79-94-7,"3,3',5,5'-tetrabromobisphenol a",543.9,6.663,0.00107,50.5,50.5,httk_measured
99-54-7,"3,4-dichloronitrobenzene",192.0,3.119,1e-06,387.0,387.0,httk_measured
626-43-7,"3,5-dichloroaniline",162.0,2.899,0.0522,86.1,86.1,httk_measured
18979-55-0,4-(hexyloxy)phenol,194.3,3.355,0.00077,83.6,83.6,httk_measured
122-37-2,4-anilinophenol,185.2,2.822,0.0582,75.1,75.1,httk_measured
104-13-2,4-butylaniline,149.2,3.048,0.0599,26.4,26.4,httk_measured
4344-55-2,4-butyloxyaniline,165.2,1.459,0.165,28.4,28.4,httk_measured
1638-22-8,4-butylphenol,150.2,3.647,0.0358,127.0,127.0,httk_measured
95-83-0,"4-chloro-1,2-diaminobenzene",142.6,1.277,0.373,31.6,31.6,httk_measured
599-64-4,4-cumylphenol,212.3,3.691,0.0231,27.2,27.2,httk_measured
156-43-4,4-ethoxyaniline,137.2,1.238,0.485,13.8,13.8,httk_measured
1987-50-4,4-heptylphenol,192.3,4.028,0.00365,42.5,42.5,httk_measured
33228-45-4,4-hexylanilline,177.3,4.207,0.00695,440.0,440.0,httk_measured
39905-57-2,4-hexyloxyanilline,193.3,3.635,0.0252,79.3,79.3,httk_measured
121-33-5,4-hydroxy-3-methoxybenzaldehyde,152.1,1.193,0.322,234.0,234.0,httk_measured
68392-35-8,4-hydroxytamoxifen,387.5,5.454,0.0153,16.0,16.0,httk_measured
134-84-9,4-methylbenzophenone,196.2,3.306,0.0188,118.0,118.0,httk_measured
100-02-7,4-nitrophenol,139.1,1.912,0.141,14.0,14.0,httk_measured
156-10-5,4-nitrosodiphenylamine,198.2,3.043,0.123,839.0,839.0,httk_measured
84852-15-3,"4-nonylphenol, branched",220.2,5.034,1e-06,104.0,104.0,httk_measured
33228-44-3,4-pentylaniline,163.3,3.39,0.0234,18.2,18.2,httk_measured
2696-84-6,4-propylanilline,135.2,2.4,0.136,17.3,17.3,httk_measured
769-92-6,4-tert-butylaniline,149.2,2.7,0.155,10.7,10.7,httk_measured
3236-71-3,"4,4'-(9h-fluorene-9,9-diyl)diphenol",350.4,3.674,1e-06,22.4,22.4,httk_measured
13680-35-8,"4,4'-methylenebis(2,6-diethylaniline)",310.5,5.139,0.00874,8.2,8.2,httk_measured
101-77-9,"4,4'-methylenedianiline",198.3,1.589,0.261,3.37,3.37,httk_measured
27955-94-8,"4,4',4''-ethane-1,1,1-triyltriphenol",306.4,3.301,0.0141,30.8,30.8,httk_measured
2835-95-2,5-amino-2-methylphenol,123.2,0.7676,0.604,16.0,16.0,httk_measured
105624-86-0,5hpp-33,323.4,4.28,0.0415,47.0,47.0,httk_measured
77-90-7,Acetyl tributyl citrate,402.5,4.366,0.00942,261.0,261.0,httk_measured
135158-54-2,Acibenzolar-s-methyl,210.3,3.098,0.0232,863.0,863.0,httk_measured
19774-82-4,Amiodarone hydrochloride,681.8,2.244,1e-06,4.537,4.537,httk_measured
41372-20-7,Apomorphine hydrochloride hydrate,625.6,0.1058,0.0723,17.4,17.4,httk_measured
2465-27-2,Auramine hydrochloride,303.8,0.5336,0.107,8.66,8.66,httk_measured
35575-96-3,Azamethiphos,324.7,1.05,0.553,429.0,429.0,httk_measured
2390-60-5,Basic blue 7,514.2,2.876,1e-06,3.21,3.21,httk_measured
94-09-7,Benzocaine,165.2,1.86,0.338,132.0,132.0,httk_measured
118-58-1,Benzyl salicylate,228.2,3.106,1e-06,841.0,841.0,httk_measured
253450-09-8,Besonprodil,402.5,4.239,0.0385,5.31,5.31,httk_measured
491-80-5,Biochanin a,284.3,3.138,0.0203,230.0,230.0,httk_measured
33171-05-0,Bisdemethoxycurcumin,308.3,3.242,1e-06,112.0,112.0,httk_measured
1478-61-1,Bisphenol af,336.2,4.017,0.00685,125.0,125.0,httk_measured
22260-51-1,Bromocriptine mesylate,750.7,0.6293,0.00955,178.0,178.0,httk_measured
569-61-9,C.i. basic red 9 monohydrochloride,323.8,-0.8487,0.235,3.23,3.23,httk_measured
509-34-2,C.i. solvent red 49,442.6,6.086,0.0456,13.9,13.9,httk_measured
63449-41-2,C8-18-alkydimethylbenzyl ammonium chlorides,276.3,3.16,0.0104,63.1,63.1,httk_measured
1260-17-9,Carminic acid,492.4,0.573,1e-06,88.8,88.8,httk_measured
120-80-9,Catechol,110.1,0.8794,0.0268,42.3,42.3,httk_measured
480-40-0,Chrysin,254.2,3.519,0.00263,204.0,204.0,httk_measured
637-07-0,Clofibrate,242.7,3.456,1e-06,868.0,868.0,httk_measured
23593-75-1,Clotrimazole,344.8,4.8,0.00953,77.1,77.1,httk_measured
50-22-6,Corticosterone,346.5,1.942,0.137,12.1,12.1,httk_measured
230954-09-3,Cp-544439,410.4,2.383,0.145,2.27,2.27,httk_measured
458-37-7,Curcumin,368.4,2.597,1e-06,297.0,297.0,httk_measured
120116-88-3,Cyazofamid,324.8,0.848,0.051,10.0,10.0,httk_measured
4449-51-8,Cyclopamine,411.6,5.248,0.0741,29.4,29.4,httk_measured
68359-37-5,Cyfluthrin,434.3,5.952,1e-06,23.8,23.8,httk_measured
57966-95-7,Cymoxanil,198.2,0.5879,0.437,32.8,32.8,httk_measured
427-51-0,Cyproterone acetate,416.9,3.409,0.0584,4.46,4.46,httk_measured
69-74-9,Cytarabine hydrochloride,279.7,-2.084,0.96,16.8,16.8,httk_measured
1596-84-5,Daminozide,160.2,-1.495,0.939,2.29,2.29,httk_measured
2392-39-4,Dexamethasone sodium phosphate,516.4,0.9792,0.0956,9.63,9.63,httk_measured
109-43-3,Dibutyl decanedioate,314.5,5.972,1e-06,134.0,134.0,httk_measured
97-23-4,Dichlorophen,269.1,4.258,0.0045,13.2,13.2,httk_measured
62-73-7,Dichlorvos,221.0,1.429,1e-06,86.4,86.4,httk_measured
84-69-5,Diisobutyl phthalate,278.3,4.112,0.000435,345.0,345.0,httk_measured
131-18-0,Dipentyl phthalate,306.4,5.616,0.0986,301.0,301.0,httk_measured
136-45-8,"Dipropyl 2,5-pyridinedicarboxylate",251.3,3.565,0.865,592.0,592.0,httk_measured
97-77-8,Disulfiram,296.5,3.877,0.08601,28.46,28.46,httk_measured
6533-00-2,Dl-norgestrel,312.5,3.067,0.0392,11.0,11.0,httk_measured
24169-02-6,Econazole nitrate,444.7,1.082,0.00553,6.02,6.02,httk_measured
361343-19-3,Elzasonan,448.4,4.692,0.0329,21.1,21.1,httk_measured
124378-77-4,Enadoline,396.5,2.894,0.263,3.36,3.36,httk_measured
77756-20-8,Enterolactone,298.3,2.811,0.0121,139.0,139.0,httk_measured
474-86-2,Equilin,268.4,3.531,0.0583,9.74,9.74,httk_measured
52479-85-3,Exifone,278.2,1.158,1e-06,28.1,28.1,httk_measured
129299-90-7,Fabesetron hydrochloride,329.8,0.4345,0.0309,7.56,7.56,httk_measured
131807-57-3,Famoxadone,374.4,4.649,0.0097,16.4,16.4,httk_measured
2783-94-0,Fd&c yellow 6,452.4,1.779,1e-06,18.9,18.9,httk_measured
49562-28-9,Fenofibrate,360.8,4.943,0.00815,563.0,563.0,httk_measured
113776-20-8,Fenoxaprop-(2s)-ethyl,361.8,4.579,0.00537,723.0,723.0,httk_measured
71283-80-2,Fenoxaprop-p-ethyl,361.8,4.579,0.00635,519.0,519.0,httk_measured
111812-58-9,"Fenpyroximate (z,e)",421.5,5.008,0.0046,16.8,16.8,httk_measured
101-42-8,Fenuron,164.2,0.9813,0.564,2.89,2.89,httk_measured
69806-50-4,Fluazifop-butyl,383.4,4.5,0.00862,401.0,401.0,httk_measured
188489-07-8,Flufenpyr-ethyl,408.7,4.075,0.769,375.0,375.0,httk_measured
69806-40-2,Haloxyfop-methyl,375.7,4.07,0.00819,467.0,467.0,httk_measured
67485-29-4,Hydramethylnon,494.5,2.313,1e-06,4.38,4.38,httk_measured
630-56-8,Hydroxyprogesterone caproate,428.6,5.315,0.0175,195.0,195.0,httk_measured
473289-62-2,Ilepatril,432.5,2.475,0.319,5.55,5.55,httk_measured
186392-65-4,Ingliforib,457.9,0.4186,0.0234,2.09,2.09,httk_measured
125225-28-7,Ipconazole,333.9,4.208,0.0132,101.0,101.0,httk_measured
25311-71-1,Isofenphos,345.4,4.117,0.0105,158.0,158.0,httk_measured
33820-53-0,Isopropalin,309.4,4.502,1e-06,12.5,12.5,httk_measured
59227-89-3,Laurocapram,281.5,6.109,0.00275,9.8,9.8,httk_measured
79794-75-5,Loratadine,382.9,5.197,0.00968,33.9,33.9,httk_measured
1634-78-2,Malaoxon,314.3,1.724,0.538,55.9,55.9,httk_measured
2919-66-6,Melengestrol acetate,396.5,3.327,0.0232,41.4,41.4,httk_measured
16752-77-5,Methomyl,162.2,0.6005,0.716,2.05,2.05,httk_measured
134-20-3,Methyl 2-aminobenzoate,151.2,1.877,0.224,246.0,246.0,httk_measured
4707-47-5,"Methyl 2,4-dihydroxy-3,6-dimethylbenzoate",196.2,2.051,0.0335,268.0,268.0,httk_measured
493-52-7,Methyl red,269.3,3.345,0.0304,11.1,11.1,httk_measured
119-36-8,Methyl salicylate,152.1,2.547,0.107,817.0,817.0,httk_measured
61-73-4,Methylene blue,319.8,0.6257,0.38,13.9,13.9,httk_measured
90-94-8,Michler's ketone,268.4,3.869,0.00959,39.2,39.2,httk_measured
103-69-5,N-ethylaniline,121.2,2.16,0.214,21.8,21.8,httk_measured
872-50-4,N-methyl-2-pyrrolidone,99.13,-0.4585,0.888,0.04123,0.04123,httk_measured
90-30-2,N-phenyl-1-naphthylamine,219.3,4.201,0.006962,57.9,57.9,httk_measured
63449-68-3,Naphthalen-2-yl 2-aminobenzoate,263.3,3.48,0.00653,846.0,846.0,httk_measured
439687-69-1,Nelivaptan,630.1,2.791,0.0608,35.3,35.3,httk_measured
59-67-6,Nicotinic acid,123.1,0.358,0.594,3.54,3.54,httk_measured
110-25-8,Oleyl sarcosine,353.5,6.151,1e-06,41.7,41.7,httk_measured
501027-49-2,Pd-0333941,390.4,5.023,0.00409,3.4,3.4,httk_measured
1114-71-2,Pebulate,203.3,3.835,1e-06,159.0,159.0,httk_measured
460081-99-6,Pharmagsid_48510,436.4,5.009,0.0142,7.69,7.69,httk_measured
143-74-8,Phenol red,354.4,3.02,0.142,1.1,1.1,httk_measured
81-90-3,Phenolphthalin,320.3,2.612,0.00918,1.85,1.85,httk_measured
17696-62-7,Phenylparaben,214.2,3.288,0.045,865.0,865.0,httk_measured
117428-22-5,Picoxystrobin,367.3,3.702,0.007216,57.1,57.1,httk_measured
112529-15-4,Pioglitazone hydrochloride,392.9,-0.2365,0.0106,8.92,8.92,httk_measured
625114-41-2,Piragliatin,421.9,1.964,0.48,6.26,6.26,httk_measured
32809-16-8,Procymidone,284.1,3.081,0.0499,5.32,5.32,httk_measured
1918-16-7,Propachlor,211.7,2.182,0.345,69.7,69.7,httk_measured
2312-35-8,Propargite,350.5,4.999,0.0133,24.0,24.0,httk_measured
60207-90-1,Propiconazole,342.2,3.717,0.0508,17.0,17.0,httk_measured
121-79-9,Propyl gallate,212.2,1.8,0.0258,49.7,49.7,httk_measured
82640-04-8,Raloxifene hydrochloride,510.0,1.57,0.0129,43.7,43.7,httk_measured
501-36-0,Resveratrol,228.2,3.304,1e-06,62.9,62.9,httk_measured
180084-01-9,Sb236057a,571.1,4.528,0.015,4.65,4.65,httk_measured
26259-45-0,Secbumeton,225.3,3.103,0.0461,6.53,6.53,httk_measured
2492-26-4,Sodium 2-mercaptobenzothiolate,189.2,1.009,0.0368,41.7,41.7,httk_measured
824-78-2,Sodium 4-nitrophenolate,161.1,-1.518,0.17,48.1,48.1,httk_measured
3689-24-5,Sulfotepp,322.3,3.988,0.0206,101.0,101.0,httk_measured
4065-45-6,Sulisobenzone,308.3,2.43,0.00942,1.05,1.05,httk_measured
13071-79-9,Terbufos,288.4,4.478,0.0306,32.5,32.5,httk_measured
57-85-2,Testosterone propionate,344.5,4.102,1e-06,427.0,427.0,httk_measured
36062-04-1,Tetrahydrocurcumin,372.4,2.343,0.0501,173.0,173.0,httk_measured
83-67-0,Theobromine,180.2,-0.7743,0.955,396.0,396.0,httk_measured
137-26-8,Thiram,240.4,1.73,1e-06,816.0,816.0,httk_measured
189003-92-7,Trelanserin,465.6,2.729,0.0607,7.06,7.06,httk_measured
24017-47-8,Triazophos,313.3,3.341,0.049,30.2,30.2,httk_measured
52-68-6,Trichlorfon,257.4,0.5114,0.696,31.7,31.7,httk_measured
141517-21-7,Trifloxystrobin,408.4,3.474,0.0072,466.0,466.0,httk_measured
2451-62-9,Triglycidyl isocyanurate,297.3,-0.2031,0.402,180.0,180.0,httk_measured
95266-40-3,Trinexapac-ethyl,252.3,0.968,0.137,3.82,3.82,httk_measured
101-20-2,Triclocarban,315.6,4.666,0.003883,9.45,9.45,httk_measured
104-66-5,"1,2-diphenoxyethane",214.3,3.809,1e-06,18.51,18.51,httk_measured
105-13-5,(4-methoxyphenyl)methanol,138.2,1.1,0.9392,90.03,90.03,httk_measured
106-25-2,"(2z)-3,7-dimethylocta-2,6-dien-1-ol",154.3,3.558,1e-06,1.57,1.57,httk_measured
1071-93-8,Hexanedihydrazide,174.2,-0.2851,0.9601,0.6018,0.6018,httk_measured
108612-45-9,Mizolastine,432.5,3.333,0.023,6.0,6.0,httk_measured
111-40-0,Diethylenetriamine,103.2,-0.8286,0.9678,2.003,2.003,httk_measured
111-76-2,2-butoxyethanol,118.2,0.828,0.8332,0.8515,0.8515,httk_measured
124-07-2,Octanoic acid,144.2,3.049,1e-06,5.626,5.626,httk_measured
125116-23-6,Metconazole,319.8,3.85,0.02646,16.7,16.7,httk_measured
149-57-5,2-ethylhexanoic acid,144.2,2.643,0.1316,1.715,1.715,httk_measured
169590-42-5,Celecoxib,381.4,3.566,0.002837,25.7,25.7,httk_measured
2226-96-2,"4-hydroxy-2,2,6,6-tetramethylpiperidin-1-yl)oxidanyl",172.2,0.8918,1.0,10.4,10.4,httk_measured
2597-03-7,Phenthoate,320.4,3.69,0.02456,168.0,168.0,httk_measured
2610-11-9,C.i. direct red 81 disodium salt,675.6,2.851,4.049e-05,1.492,1.492,httk_measured
2943-75-1,Triethoxyoctylsilane,276.5,4.71,0.026,11.06,11.06,httk_measured
3445-11-2,1-(2-hydroxyethyl)pyrrolidin-2-one,129.2,-0.7006,1.0,0.1559,0.1559,httk_measured
3913-02-8,2-butyloctan-1-ol,186.3,4.816,1.0,0.658,0.658,httk_measured
41481-66-7,"4,4'-sulfonylbis[2-(prop-2-en-1-yl)phenol]",330.4,2.843,0.0759,84.7,84.7,httk_measured
4394-85-8,4-morpholinecarboxaldehyde,115.1,-1.057,0.9528,0.4016,0.4016,httk_measured
5232-99-5,"Ethyl 2-cyano-3,3-diphenylacrylate",277.3,2.97,0.007005,161.3,161.3,httk_measured
5915-41-3,Terbuthylazine,229.7,3.21,0.08238,4.1,4.1,httk_measured
6259-76-3,Hexyl salicylate,222.3,3.185,1e-06,191.4,191.4,httk_measured
64-17-5,Ethanol,46.07,-0.3097,0.9338,3.958,3.958,httk_measured
64091-91-4,4-(n-methyl-n-nitrosamino)-1-(3-pyridyl)-1-butanone,207.2,1.082,0.9647,4.538,4.538,httk_measured
6425-39-4,"4,4'-(oxydiethylene)bis(morpholine)",244.3,0.01817,1.0,2.573,2.573,httk_measured
67-63-0,Isopropanol,60.1,0.05195,0.9214,0.2182,0.2182,httk_measured
72-33-3,Mestranol,310.4,4.15,0.04205,10.2,10.2,httk_measured
81-07-2,Saccharin,183.2,0.9093,0.2258,1.917,1.917,httk_measured
88-27-7,"2,6-di-tert-butyl-4-[(dimethylamino)methyl]phenol",263.4,4.028,0.2649,1.55,1.55,httk_measured
91-76-9,"6-phenyl-1,3,5-triazine-2,4-diamine",187.2,1.362,0.343,1.18,1.18,httk_measured
97-74-5,Tetramethylthiuram monosulfide,208.4,0.9374,0.6276,18.06,18.06,httk_measured
97-78-9,N-dodecanoyl-n-methylglycine,271.4,3.792,0.003219,42.07,42.07,httk_measured
5124-25-4,C.i.disperse yellow 42,369.4,4.599,1e-06,109.1,109.1,httk_measured
104-40-5,4-n-nonylphenol,220.4,5.757,0.0209,62.6,62.6,httk_measured
94-75-7,"2,4-d",221.0,2.809,0.04001,,20.3265,RF_predicted_544model
94-82-6,"2,4-db",249.1,3.528,0.006623,,150.8019,RF_predicted_544model
90-43-7,2-phenylphenol,170.2,3.091,0.04105,,46.6139,RF_predicted_544model
1007-28-9,6-desisopropylatrazine,173.6,1.15,0.4588,,7.7429,RF_predicted_544model
30560-19-1,Acephate,183.2,-0.8482,0.8684,,6.2837,RF_predicted_544model
135410-20-7,Acetamiprid,222.7,1.834,0.5732,,5.694,RF_predicted_544model
50594-66-6,Acifluorfen,361.7,3.701,0.0111,,61.2433,RF_predicted_544model
116-06-3,Aldicarb,190.3,1.129,0.4809,,7.5812,RF_predicted_544model
1912-24-9,Atrazine,215.7,2.611,0.1237,,17.14,RF_predicted_544model
25057-89-0,Bentazone,240.3,2.337,0.02147,,29.1941,RF_predicted_544model
82657-04-3,Bifenthrin,422.9,6.186,0.005,,6.8174,RF_predicted_544model
314-40-9,Bromacil,261.1,2.109,0.0852,,5.7783,RF_predicted_544model
1698-60-8,Chloridazon,221.6,1.172,0.4273,,5.5861,RF_predicted_544model
74115-24-5,Clofentezine,303.2,3.1,0.005,,29.5931,RF_predicted_544model
101-10-0,Cloprop,200.6,2.542,0.02239,,44.8383,RF_predicted_544model
21725-46-2,Cyanazine,240.7,2.221,0.3155,,9.513,RF_predicted_544model
113136-77-9,Cyclanilide,274.1,2.683,0.984,,52.9801,RF_predicted_544model
66215-27-8,Cyromazine,166.2,0.8033,0.9352,,11.4507,RF_predicted_544model
584-79-2,"D-cis,trans-allethrin",302.4,4.78,0.2902,,5.4616,RF_predicted_544model
1918-00-9,Dicamba,221.0,2.212,0.1802,,14.7381,RF_predicted_544model
1194-65-6,Dichlobenil,172.0,2.741,0.06222,,34.8178,RF_predicted_544model
99-30-9,Dichloran,207.0,2.799,0.005,,39.138,RF_predicted_544model
120-36-5,Dichlorprop,235.1,2.827,0.008529,,45.2295,RF_predicted_544model
51338-27-3,Diclofop-methyl,341.2,4.709,0.005,,47.8839,RF_predicted_544model
141-66-2,Dicrotophos,237.2,0.0002994,0.8457,,3.8668,RF_predicted_544model
117-81-7,Diethylhexyl phthalate (dehp),390.6,7.525,0.04558,,16.5673,RF_predicted_544model
43222-48-6,Difenzoquat metilsulfate,360.4,0.5632,0.8513,,7.9846,RF_predicted_544model
131-11-3,Dimethyl phthalate,194.2,1.584,0.656,,5.701,RF_predicted_544model
83657-24-3,Diniconazole,326.2,4.297,0.01947,,29.3319,RF_predicted_544model
155569-91-8,Emamectin benzoate,1008.0,5.0,0.001379,,14.0649,RF_predicted_544model
115-29-7,Endosulfan,406.9,3.828,0.11,,14.6674,RF_predicted_544model
66230-04-4,Esfenvalerate,419.9,6.2,1e-06,,14.2445,RF_predicted_544model
55283-68-6,Ethalfluralin,333.3,5.11,0.005,,16.7232,RF_predicted_544model
97780-06-8,Ethametsulfuron methyl,410.4,1.59,0.01566,,11.5115,RF_predicted_544model
66441-23-4,Fenoxaprop-ethyl,361.8,4.579,0.005,,166.8265,RF_predicted_544model
120068-37-3,Fipronil,437.1,3.998,0.0461,,13.6498,RF_predicted_544model
62924-70-3,Flumetralin,421.7,5.447,0.005,,13.4533,RF_predicted_544model
81406-37-3,Fluroxypyr-meptyl,367.2,4.529,0.005,,118.4601,RF_predicted_544model
173159-57-4,Foramsulfuron,452.4,0.7454,0.0649,,7.8312,RF_predicted_544model
98886-44-3,Fosthiazate,283.3,1.681,0.4599,,4.5972,RF_predicted_544model
100784-20-1,Halosulfuron-methyl,434.8,-0.01661,0.009462,,13.7017,RF_predicted_544model
35554-44-0,Imazalil,297.2,3.818,0.02956,,24.2236,RF_predicted_544model
114311-32-9,Imazamox,305.3,0.7307,0.4548,,8.4837,RF_predicted_544model
104098-48-8,Imazapic,275.3,2.464,0.5468,,9.4587,RF_predicted_544model
81334-34-1,Imazapyr,261.3,0.2237,0.9231,,2.6497,RF_predicted_544model
77501-63-4,Lactofen,461.8,4.808,0.005,,18.879,RF_predicted_544model
58-89-9,Lindane,290.8,3.719,0.0165,,44.1076,RF_predicted_544model
94-74-6,Mcpa,200.6,3.243,0.01797,,50.2159,RF_predicted_544model
104206-82-8,Mesotrione,339.3,0.783,0.3548,,5.7089,RF_predicted_544model
57837-19-1,Metalaxyl,279.3,1.65,0.7306,,6.5369,RF_predicted_544model
113-48-4,Mgk,275.4,3.7,0.005,,28.8965,RF_predicted_544model
2212-67-1,Molinate,187.3,3.209,0.09714,,29.2476,RF_predicted_544model
131-70-4,Monobutyl phthalate,222.2,2.372,0.2077,,16.1333,RF_predicted_544model
19666-30-9,Oxadiazon,345.2,4.798,0.00364,,34.4706,RF_predicted_544model
23135-22-0,Oxamyl,219.3,-0.4706,0.7926,,5.0644,RF_predicted_544model
42874-03-3,Oxyfluorfen,361.7,4.73,0.1218,,23.9314,RF_predicted_544model
6153-64-6,Oxytetracycline dihydrate,496.5,-3.97,0.3982,,11.5619,RF_predicted_544model
219714-96-2,Penoxsulam,483.4,2.482,0.01009,,6.8538,RF_predicted_544model
122-99-6,Phenoxyethanol,138.2,1.161,0.2957,,26.079,RF_predicted_544model
1918-02-1,Picloram,241.4,1.899,0.23,,6.4818,RF_predicted_544model
123343-16-8,Pyrithiobac-sodium,348.7,0.6002,0.0334,,9.3893,RF_predicted_544model
84087-01-4,Quinclorac,242.1,2.772,0.02799,,19.7035,RF_predicted_544model
124495-18-7,Quinoxyfen,308.1,4.66,0.005,,32.6807,RF_predicted_544model
10453-86-8,Resmethrin,338.4,6.14,0.005,,21.0471,RF_predicted_544model
122931-48-0,Rimsulfuron,431.4,0.2909,0.6278,,4.14,RF_predicted_544model
148-79-8,Thiabendazole,201.2,2.468,0.1382,,18.1553,RF_predicted_544model
153719-23-4,Thiamethoxam,291.7,-0.1191,0.8286,,5.8273,RF_predicted_544model
51707-55-2,Thidiazuron,220.2,1.769,0.02837,,36.1397,RF_predicted_544model
55219-65-3,Triadimenol,295.8,2.901,0.1258,,15.5256,RF_predicted_544model
55335-06-3,Triclopyr,256.5,2.516,0.02237,,23.0414,RF_predicted_544model
199119-58-9,Trifloxysulfuron-sodium,459.3,0.8201,0.00376,,16.9612,RF_predicted_544model
156052-68-5,Zoxamide,336.6,3.759,0.01031,,40.0426,RF_predicted_544model
101-80-4,"""4,4'-oxydianiline""",200.2,1.364,0.3284,,4.3707,RF_predicted_544model
102-06-7,"""1,3-diphenylguanidine""",211.3,2.959,0.7844,,28.0898,RF_predicted_544model
1024-57-3,"""heptachlor epoxide, isomer b""",389.3,5.191,0.01068,,20.9291,RF_predicted_544model
10540-29-1,Tamoxifen,371.5,6.235,0.00165,,22.9613,RF_predicted_544model
110235-47-7,Mepanipyrim,223.3,3.279,0.03419,,29.7574,RF_predicted_544model
110-26-9,"""n,n'-methylenebis(acrylamide)""",154.2,-0.6668,1.0,,2.4158,RF_predicted_544model
112-50-5,2-[2-(2-ethoxyethoxy)ethoxy]ethanol,178.2,0.03197,1.0,,1.2952,RF_predicted_544model
114-07-8,Erythromycin,733.9,3.06,0.5653,,19.7217,RF_predicted_544model
117-84-0,Di-n-octyl phthalate,390.6,8.097,0.0233,,15.9117,RF_predicted_544model
119-90-4,"3,3'-dimethoxybenzidine",244.3,1.813,0.3343,,6.4201,RF_predicted_544model
119-93-7,O-tolidine,212.3,2.34,0.1427,,15.6121,RF_predicted_544model
